x,y,f (x),g (y)
0.1,1.0,10.4,1.0004000800106678
0.2,10.235310218990262,10.8,1.0041025164628516
0.30000000000000004,104.76157527896652,11.2,1.0427950227633267
0.4,1072.2672220103232,11.6,1.5355780482322225
0.5,10974.987654930568,12.0,80.64002077683165
0.6,112332.40329780288,12.4,3.266909896125916e+19
0.7000000000000001,1149756.9953977356,12.8,5.410625218000792e+199
0.8,11768119.524349991,13.2,inf
0.9,120450354.02587835,13.6,inf
1.0,1232846739.4420683,14.0,inf
1.1,12618568830.660236,14.4,inf
1.2000000000000002,129154966501.4888,14.8,inf
1.3000000000000003,1321941148466.0288,15.200000000000001,inf
1.4000000000000001,13530477745798.076,15.600000000000001,inf
1.5000000000000002,138488637139387.45,16.0,inf
1.6,1417474162926807.8,16.4,inf
1.7000000000000002,1.4508287784959432e+16,16.8,inf
1.8000000000000003,1.4849682622544694e+17,17.200000000000003,inf
1.9000000000000001,1.5199110829529393e+18,17.6,inf
2.0,1.5556761439304786e+19,18.0,inf
2.1,1.5922827933411004e+20,18.4,inf
2.2,1.6297508346206534e+21,18.8,inf
2.3000000000000003,1.6681005372000694e+22,19.200000000000003,inf
2.4000000000000004,1.7073526474707025e+23,19.6,inf
2.5000000000000004,1.7475284000076829e+24,20.0,inf
2.6,1.788649529057435e+25,20.4,inf
2.7,1.83073828029537e+26,20.8,inf
2.8000000000000003,1.8738174228603868e+27,21.200000000000003,inf
2.9000000000000004,1.9179102616724926e+28,21.6,inf
3.0000000000000004,1.9630406500402765e+29,22.0,inf
3.1,2.0092330025650542e+30,22.4,inf
3.2,2.0565123083486597e+31,22.8,inf
3.3000000000000003,2.1049041445120304e+32,23.200000000000003,inf
3.4000000000000004,2.1544346900318954e+33,23.6,inf
3.5000000000000004,2.205130739903059e+34,24.0,inf
3.6,2.2570197196339353e+35,24.4,inf
3.7,2.310129700083177e+36,24.8,inf
3.8000000000000003,2.3644894126454266e+37,25.200000000000003,inf
3.9000000000000004,2.420128264794403e+38,25.6,inf
4.0,2.477076355991734e+39,26.0,inf
4.1,2.5353644939701373e+40,26.4,inf
4.2,2.595024211399764e+41,26.8,inf
4.3,2.6560877829467165e+42,27.2,inf
4.3999999999999995,2.7185882427329734e+43,27.599999999999998,inf
4.5,2.78255940220716e+44,28.0,inf
4.6,2.8480358684358397e+45,28.4,inf
4.7,2.9150530628252174e+46,28.8,inf
4.8,2.983647240283383e+47,29.2,inf
4.9,3.053855508833412e+48,29.6,inf
5.0,3.1257158496882355e+49,30.0,inf
5.1,3.1992671377973845e+50,30.4,inf
5.2,3.274549162877732e+51,30.8,inf
5.3,3.351602650938848e+52,31.2,inf
5.4,3.430469286314926e+53,31.6,inf
5.5,3.5111917342151415e+54,32.0,inf
5.6,3.59381366380464e+55,32.4,inf
5.7,3.6783797718286494e+56,32.8,inf
5.8,3.764935806792487e+57,33.2,inf
5.9,3.853528593710551e+58,33.6,inf
6.0,3.94420605943768e+59,34.0,inf
6.1,4.0370172585965825e+60,34.4,inf
6.2,4.1320124001153683e+61,34.8,inf
6.3,4.229242874389534e+62,35.2,inf
6.4,4.328761281083097e+63,35.6,inf
6.5,4.430621457583923e+64,36.0,inf
6.6,4.5348785081286285e+65,36.4,inf
6.7,4.641588833612829e+66,36.8,inf
6.8,4.7508101621028515e+67,37.2,inf
6.9,4.862601580065413e+68,37.6,inf
7.0,4.977023564332175e+69,38.0,inf
7.1,5.094138014816448e+70,38.4,inf
7.2,5.214008287999759e+71,38.8,inf
7.3,5.336699231206389e+72,39.2,inf
7.4,5.4622772176844265e+73,39.6,inf
7.5,5.590810182512314e+74,40.0,inf
7.6,5.722367659350314e+75,40.4,inf
7.7,5.85702081805677e+76,40.8,inf
7.8,5.994842503189519e+77,41.2,inf
7.9,6.135907273413288e+78,41.6,inf
8.0,6.280291441834374e+79,42.0,inf
8.1,6.42807311728445e+80,42.4,inf
8.2,6.579332246575817e+81,42.8,inf
8.3,6.734150657750967e+82,43.2,inf
8.4,6.89261210434985e+83,43.6,inf
8.5,7.0548023107188045e+84,44.0,inf
8.6,7.220809018385634e+85,44.4,inf
8.7,7.390722033525956e+86,44.8,inf
8.8,7.564633275546476e+87,45.2,inf
8.9,7.742636826811468e+88,45.6,inf
9.0,7.92482898353938e+89,46.0,inf
9.1,8.111308307897088e+90,46.4,inf
9.2,8.302175681319973e+91,46.8,inf
9.3,8.497534359086681e+92,47.2,inf
9.4,8.697490026178083e+93,47.6,inf
9.5,8.902150854450648e+94,48.0,inf
9.6,9.111627561155167e+95,48.4,inf
9.700000000000001,9.326033468832181e+96,48.800000000000004,inf
9.8,9.545484566618327e+97,49.2,inf
9.9,9.770099572992247e+98,49.6,inf
10.0,1e+100,50.0,inf
